city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,zoning,lease_type,tenancy,brand_tenant,square_footage,cap_rate_percentage,occupancy_percentage,noi,investment_type,buildings,net_rentable_sqft,ownership,year_built,stories,class,rent_bumps,loading_docks,dock_high_doors,ceiling_height,year_renovated,broker_co_op,lease_expiration,price_sqft_land_value,lease_term_year,sale_condition,number_of_tenants,tenant_credit,lease_commencement,parking_spaces,units,price_acre_land_value,lease_options,ground_lease,price_sqft,remaining_term_year
charlotte nc,2094000.0,wendy's (dark),"7920 Cambridge Commons Drive Charlotte, US","Retail • 7.00% CAP • 3,251 SqFt",https://www.crexi.com/properties/1920254/wendys-dark,2094000.0,2025-05-06,77.0,retail,"qsr/fast food, restaurant",1.02,,Absolute NNN,single,wendy's,3251.0,7.0,100.0,146581.0,Net Lease,,3251.0,Fee Simple (Land & Building Ownership),2003,,,,,,,,,2038-05-31,,20.0,,,Franchisee,2018-05-21,36.0,,,,,,12.9
charlotte nc,350000.0,"1111 parkwood avenue, charlotte, nc 28205","1101, 1105, 1109, 1111 Parkwood Ave Charlotte, NC 28205",Prime Piece of Charlotte Real Estate,https://www.crexi.com/properties/1501041/north-carolina-1101-1105-11091111-parkwood-avenue-charlotte-nc-28205,350000.0,2024-04-03,474.0,mixed use,mixed use,,NS,,,,,,,,,,,,1925,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,4300 business center dr,"4300 Business Center Dr Charlotte, NC 28214",Land • 3.97 Acres for Sale,https://www.crexi.com/properties/1552851/north-carolina-4300-business-center-dr,,2024-06-05,411.0,land,"commercial, industrial",3.97,ML-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,4673250.0,"507-515, 519, and 531 oakdale road","507-515, 519, and 531 Oakdale Road Charlotte, NC 28216",Land • 15.02 acres,https://www.crexi.com/properties/1232970/north-carolina-507---519-oakdale-rd,4673250.0,2023-09-20,671.0,land,residential,15.02,N1-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,2224 coronation blvd,"2224 Coronation Blvd Charlotte, NC 28227",Land • 0.78 acres,https://www.crexi.com/properties/1925908/north-carolina-2224-coronation-blvd,,2025-05-12,70.0,land,commercial,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,204 east peterson street,"204 E Peterson Dr Charlotte, NC 28217","Office • 3,590 SF",https://www.crexi.com/properties/1529536/north-carolina-204-east-peterson-street,,2024-05-11,437.0,"office, industrial","executive office, flex",0.645,,,,,3590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,349999.0,9738 ridge st.,"9738 Ridge St Charlotte, NC 28214",Land • 1.762 acres,https://www.crexi.com/properties/1525480/north-carolina-9738-ridge-st,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,portfolio sale 435-501,"435 - 501 E. Morehead St. Charlotte, NC 28202",Portfolio Sale,https://www.crexi.com/properties/1956637/north-carolina-portfolio-sale-435-501,,2025-06-06,46.0,"office, retail",traditional office,,B1 and UMD,,,,6000.0,,,,,2.0,,,1900 and 1961,2.0,C,,,,,,,,,,,,,,,,,,,,
charlotte nc,,1435 south mint street,"1435 S Mint St Charlotte, NC 28203",Land • 0.288 acres,https://www.crexi.com/properties/1702255/north-carolina-1435-south-mint-street,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,127 w 28th street,"127 W 28th St Charlotte, NC 28206","Available for Sale or Lease could work for Retail, Office, Industrial",https://www.crexi.com/properties/1978556/north-carolina-127-w-28th-street,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
