city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,broker_co_op,zoning,class,square_footage,year_built,buildings,stories,net_rentable_sqft,price_sqft,investment_type,investment_sub_type,lease_type,tenancy,brand_tenant,lease_expiration,cap_rate_percentage,occupancy_percentage,noi,units,rent_bumps,lease_options,ownership,sale_condition,tenant_credit,lease_term_year,lease_commencement,parking_spaces,loading_docks,dock_high_doors,ceiling_height,year_renovated,price_sqft_land_value,remaining_term_year
charlotte nc,485000.0,tuckaseegee rd,"2716 Tuckaseegee Rd Charlotte, NC 28208","Mixed Use • 2,725 SF",https://www.crexi.com/properties/1640527/north-carolina-tuckaseegee-rd,485000.0,2024-08-08,348.0,"mixed use, office, senior living, special purpose","executive office, medical office, traditional office",,,commercial,,2725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,399000.0,2928 n. graham street,"2928 N Graham St Charlotte, NC 28206","Industrial • 1,184 SF",https://www.crexi.com/properties/1899222/north-carolina-2928-n-graham-street,399000.0,2025-04-21,91.0,"industrial, land","distribution, manufacturing, warehouse",0.42,,ML-1 & N1-C,,1184.0,,1.0,,,,Redevelopment,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,790000.0,camp north end,"1721 Statesville Ave Charlotte, NC 28206",Land,https://www.crexi.com/properties/1665830/north-carolina-camp-north-end,790000.0,2025-01-21,181.0,"land, mixed use, multifamily, retail, self storage",commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,350000.0,"1111 parkwood avenue, charlotte, nc 28205","1101, 1105, 1109, 1111 Parkwood Ave Charlotte, NC 28205",Prime Piece of Charlotte Real Estate,https://www.crexi.com/properties/1501041/north-carolina-1101-1105-11091111-parkwood-avenue-charlotte-nc-28205,350000.0,2024-04-03,474.0,mixed use,mixed use,,,NS,,,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,i-485 & prosperity church road,"5300 Prosperity Church Rd Charlotte, NC 28269",Land • 1.98 acres,https://www.crexi.com/properties/1832412/north-carolina-i-485-prosperity-church-road,,2025-03-18,125.0,"land, retail",commercial,1.98,,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,227-231 atando,"227 Atando Ave Charlotte, NC 28206",Land • 5.629 acres,https://www.crexi.com/properties/1731347/north-carolina-227-231-atando,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,695000.0,600 e 35th street,"600 E 35th St Charlotte, NC 28205","Available for Sale • +/- 1,462 SF Office in NoDa",https://www.crexi.com/properties/1915950/north-carolina-600-e-35th-street,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,305000.0,crown centre office building,"2101 Sardis Rd. N Charlotte, NC 28227",Rare opportunity for owner/operator to buy into this building which is fully occupied.,https://www.crexi.com/properties/2011615/north-carolina-crown-centre-office-building,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,4709630.0,adams auto group,"6501 South Blvd Charlotte, NC 28217","Retail • 6.75% CAP • 15,620 SF",https://www.crexi.com/properties/1924661/north-carolina-adams-auto-group,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,750000.0,2215 west boulevard,"2215 West Blvd Charlotte, NC 28208",1200 Sf vacant free standing retail space on a busy corner with 2 lots for residential development.,https://www.crexi.com/properties/1826736/north-carolina-2215-west-boulevard,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,flats at 2200,"2479 Julia Avenue Charlotte, NC 28206",New to Market • Flats at 2200 • Strong Renovation Asset in North Charlotte • 104 SFR & Townhome Unit,https://www.crexi.com/properties/1953127/north-carolina-flats-at-2200,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,850000.0,0.79 acres prime commercial lot on n tryon,"6310 N Tryon St Charlotte, NC 28213",Land • 0.79 acres,https://www.crexi.com/properties/1763294/north-carolina-079-acres-prime-commercial-lot-on-n-tryon,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1000000.0,10412 harrisburg rd,"10412 Harrisburg Rd Charlotte, NC 28215",Land • +/- 10.01 AC For Sale,https://www.crexi.com/properties/1924572/north-carolina-10412-harrisburg-rd,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,800000.0,4704 shopton rd.,"4704 Shopton Rd Charlotte, NC 28217",Land • 0.7 acres,https://www.crexi.com/properties/1752251/north-carolina-4704-shopton-rd,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,300000.0,765 east mallard creek church road,"765 E Mallard Creek Church Rd Charlotte, NC 28262",Land • 1.4 acres,https://www.crexi.com/properties/1079238/north-carolina-765-east-mallard-creek-church-road,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,650000.0,715 north church condos,"715 N Church St Charlotte, NC 28202",Owner-occupant opportunity in Uptown Charlotte,https://www.crexi.com/properties/1937145/north-carolina-715-north-church-condos,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,349999.0,9738 ridge st.,"9738 Ridge St Charlotte, NC 28214",Land • 1.762 acres,https://www.crexi.com/properties/1525480/north-carolina-9738-ridge-st,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,750000.0,mount holly,"11033 Mt Holly Rd Charlotte, NC 28214",Land • 0.75 acres,https://www.crexi.com/properties/767784/north-carolina-mount-holly,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,2250000.0,2504-2510 w sugar creek rd,"2504 W Sugar Creek Rd Charlotte, NC 28262",Prime Unanchored Multi-Tenant Retail Shopping Strip,https://www.crexi.com/properties/1993448/north-carolina-2504-2510-w-sugar-creek-rd,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,4950000.0,10030 callabridge ct,"10030 Callabridge Ct Charlotte, NC 28216","Office • 30,000 SF",https://www.crexi.com/properties/1693595/north-carolina-10030-callabridge-ct,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,2200000.0,former beaugarde restaurant,"3030 Freedom Dr Charlotte, NC 28208","Retail • 6,800 SF",https://www.crexi.com/properties/1635762/north-carolina-former-beaugarde-restaurant,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,2451 executive st,"2451 Executive St Charlotte, NC 28208","Industrial • 16,200 SF",https://www.crexi.com/properties/1917055/north-carolina-2451-executive-st,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1200000.0,abc academy daycare,"4821 E W.T. Harris Blvd Charlotte, NC 28215","Business for Sale • 25.00% CAP • 2,527 SF",https://www.crexi.com/properties/1993639/north-carolina-abc-academy-daycare,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,2200000.0,306 clanton rd.(loso),"306 Clanton Rd Charlotte, NC 28217","Office • 7,200 SF",https://www.crexi.com/properties/1815795/north-carolina-306-clanton-rdloso,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
